"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "Markdown", "JSON", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\smm\Desktop\mern social\react-social\.env", "Properties", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\smm\Desktop\mern social\react-social\README.md", "Markdown", 0, 0, 0, 38, 0, 0, 0, 0, 33, 71
"c:\Users\smm\Desktop\mern social\react-social\package-lock.json", "JSON", 0, 0, 0, 0, 16945, 0, 0, 0, 1, 16946
"c:\Users\smm\Desktop\mern social\react-social\package.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 0, 1, 46
"c:\Users\smm\Desktop\mern social\react-social\public\assets\style.css", "CSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\smm\Desktop\mern social\react-social\public\index.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 4, 23
"c:\Users\smm\Desktop\mern social\react-social\src\App.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 8, 38
"c:\Users\smm\Desktop\mern social\react-social\src\apiCalls.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\smm\Desktop\mern social\react-social\src\components\closeFriend\CloseFriend.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\smm\Desktop\mern social\react-social\src\components\closeFriend\closeFriend.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\smm\Desktop\mern social\react-social\src\components\feed\Feed.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 0, 1, 4, 37
"c:\Users\smm\Desktop\mern social\react-social\src\components\feed\feed.css", "CSS", 0, 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\smm\Desktop\mern social\react-social\src\components\online\Online.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\smm\Desktop\mern social\react-social\src\components\online\online.css", "CSS", 0, 28, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\smm\Desktop\mern social\react-social\src\components\post\Post.jsx", "JavaScript JSX", 83, 0, 0, 0, 0, 0, 0, 1, 8, 92
"c:\Users\smm\Desktop\mern social\react-social\src\components\post\post.css", "CSS", 0, 65, 0, 0, 0, 0, 0, 0, 0, 65
"c:\Users\smm\Desktop\mern social\react-social\src\components\rightbar\Rightbar.jsx", "JavaScript JSX", 81, 0, 0, 0, 0, 0, 0, 0, 6, 87
"c:\Users\smm\Desktop\mern social\react-social\src\components\rightbar\rightbar.css", "CSS", 0, 69, 0, 0, 0, 0, 0, 0, 2, 71
